c0,c1,c2,level,bpp,mse
88, 128, 96, 4, 0.3894, 13.1758, kodak/kodim09.png
88, 128, 96, 4, 0.4964, 16.3565, kodak/kodim17.png
88, 128, 96, 4, 0.4716, 14.6378, kodak/kodim20.png
88, 128, 96, 4, 0.4166, 14.7974, kodak/kodim12.png
88, 128, 96, 4, 0.7270, 25.0859, kodak/kodim22.png
88, 128, 96, 4, 0.6381, 20.9726, kodak/kodim19.png
88, 128, 96, 4, 0.5199, 19.8113, kodak/kodim02.png
88, 128, 96, 4, 0.4277, 14.5763, kodak/kodim10.png
88, 128, 96, 4, 1.1160, 28.5734, kodak/kodim05.png
88, 128, 96, 4, 0.3187, 11.7613, kodak/kodim23.png
88, 128, 96, 4, 0.7302, 22.4425, kodak/kodim11.png
88, 128, 96, 4, 0.9310, 28.3217, kodak/kodim24.png
88, 128, 96, 4, 1.1470, 29.7747, kodak/kodim01.png
88, 128, 96, 4, 0.5191, 18.5799, kodak/kodim04.png
88, 128, 96, 4, 0.9376, 28.2307, kodak/kodim14.png
88, 128, 96, 4, 1.5515, 43.0463, kodak/kodim13.png
88, 128, 96, 4, 0.8305, 23.0447, kodak/kodim06.png
88, 128, 96, 4, 0.5508, 17.1673, kodak/kodim16.png
88, 128, 96, 4, 0.4994, 12.9810, kodak/kodim07.png
88, 128, 96, 5, 0.5098, 7.8004, kodak/kodim03.png
88, 128, 96, 5, 1.5752, 21.5801, kodak/kodim08.png
88, 128, 96, 5, 0.9890, 13.9097, kodak/kodim21.png
88, 128, 96, 5, 1.2765, 19.9293, kodak/kodim18.png
88, 128, 96, 5, 0.6970, 11.8033, kodak/kodim15.png
88, 128, 96, 5, 0.5249, 9.4509, kodak/kodim09.png
88, 128, 96, 5, 0.6918, 10.7718, kodak/kodim17.png
88, 128, 96, 5, 0.6441, 10.0362, kodak/kodim20.png
88, 128, 96, 5, 0.5978, 10.0903, kodak/kodim12.png
88, 128, 96, 5, 1.0213, 16.4314, kodak/kodim22.png
88, 128, 96, 5, 0.8950, 13.5541, kodak/kodim19.png
88, 128, 96, 5, 0.7676, 13.1962, kodak/kodim02.png
88, 128, 96, 5, 0.5867, 10.2459, kodak/kodim10.png
88, 128, 96, 5, 1.4661, 18.1711, kodak/kodim05.png
88, 128, 96, 5, 0.4287, 8.7514, kodak/kodim23.png
88, 128, 96, 5, 1.0226, 14.0834, kodak/kodim11.png
88, 128, 96, 5, 1.2418, 18.4867, kodak/kodim24.png
88, 128, 96, 5, 1.5386, 17.6667, kodak/kodim01.png
88, 128, 96, 5, 0.7388, 12.3803, kodak/kodim04.png
88, 128, 96, 5, 1.2960, 17.6794, kodak/kodim14.png
88, 128, 96, 5, 2.0206, 26.1349, kodak/kodim13.png
88, 128, 96, 5, 1.1310, 14.1044, kodak/kodim06.png
88, 128, 96, 5, 0.7795, 10.7128, kodak/kodim16.png
88, 128, 96, 5, 0.6623, 8.7287, kodak/kodim07.png
88, 128, 96, 6, 0.6903, 5.3869, kodak/kodim03.png
88, 128, 96, 6, 2.0307, 14.0893, kodak/kodim08.png
88, 128, 96, 6, 1.2751, 9.3501, kodak/kodim21.png
88, 128, 96, 6, 1.6744, 14.0391, kodak/kodim18.png
88, 128, 96, 6, 0.9622, 8.0781, kodak/kodim15.png
88, 128, 96, 6, 0.7057, 6.9556, kodak/kodim09.png
88, 128, 96, 6, 0.9472, 7.4270, kodak/kodim17.png
88, 128, 96, 6, 0.8573, 7.0472, kodak/kodim20.png
88, 128, 96, 6, 0.8436, 6.6704, kodak/kodim12.png
88, 128, 96, 6, 1.3775, 11.1542, kodak/kodim22.png
88, 128, 96, 6, 1.2084, 9.0021, kodak/kodim19.png
88, 128, 96, 6, 1.1087, 8.6815, kodak/kodim02.png
88, 128, 96, 6, 0.8064, 7.3002, kodak/kodim10.png
88, 128, 96, 6, 1.8781, 11.9535, kodak/kodim05.png
88, 128, 96, 6, 0.5833, 6.6189, kodak/kodim23.png
88, 128, 96, 6, 1.3828, 8.8730, kodak/kodim11.png
88, 128, 96, 6, 1.6042, 12.7825, kodak/kodim24.png
88, 128, 96, 6, 1.9827, 10.6189, kodak/kodim01.png
88, 128, 96, 6, 1.0369, 8.2059, kodak/kodim04.png
88, 128, 96, 6, 1.7203, 11.4745, kodak/kodim14.png
88, 128, 96, 6, 2.4993, 17.2670, kodak/kodim13.png
88, 128, 96, 6, 1.4851, 8.8049, kodak/kodim06.png
88, 128, 96, 6, 1.0709, 6.6927, kodak/kodim16.png
88, 128, 96, 6, 0.8660, 6.0396, kodak/kodim07.png
88, 128, 96, 7, 0.9072, 4.0588, kodak/kodim03.png
88, 128, 96, 7, 2.4971, 10.4495, kodak/kodim08.png
88, 128, 96, 7, 1.6035, 6.9658, kodak/kodim21.png
88, 128, 96, 7, 2.1326, 10.6517, kodak/kodim18.png
88, 128, 96, 7, 1.2712, 6.1158, kodak/kodim15.png
88, 128, 96, 7, 0.9787, 5.4444, kodak/kodim09.png
88, 128, 96, 7, 1.2701, 5.3452, kodak/kodim17.png
88, 128, 96, 7, 1.1056, 5.5818, kodak/kodim20.png
88, 128, 96, 7, 1.1576, 4.8354, kodak/kodim12.png
88, 128, 96, 7, 1.7724, 8.3541, kodak/kodim22.png
88, 128, 96, 7, 1.5580, 6.5801, kodak/kodim19.png
88, 128, 96, 7, 1.5189, 6.0774, kodak/kodim02.png
88, 128, 96, 7, 1.1138, 5.4680, kodak/kodim10.png
88, 128, 96, 7, 2.3066, 8.7956, kodak/kodim05.png
88, 128, 96, 7, 0.7949, 5.3904, kodak/kodim23.png
88, 128, 96, 7, 1.7752, 6.0892, kodak/kodim11.png
88, 128, 96, 7, 1.9966, 9.7841, kodak/kodim24.png
88, 128, 96, 7, 2.4284, 7.1531, kodak/kodim01.png
88, 128, 96, 7, 1.3942, 5.7956, kodak/kodim04.png
88, 128, 96, 7, 2.1668, 8.2819, kodak/kodim14.png
88, 128, 96, 7, 2.9529, 13.0476, kodak/kodim13.png
88, 128, 96, 7, 1.8650, 6.1181, kodak/kodim06.png
88, 128, 96, 7, 1.4017, 4.4889, kodak/kodim16.png
88, 128, 96, 7, 1.1064, 4.6112, kodak/kodim07.png
88, 168, 96, 0, 0.0924, 60.2674, kodak/kodim03.png
88, 168, 96, 0, 0.3045, 198.5453, kodak/kodim08.png
88, 168, 96, 0, 0.1715, 125.2514, kodak/kodim21.png
88, 168, 96, 0, 0.1965, 174.1807, kodak/kodim18.png
88, 168, 96, 0, 0.1146, 76.9581, kodak/kodim15.png
88, 168, 96, 0, 0.1070, 65.6925, kodak/kodim09.png
88, 168, 96, 0, 0.1196, 84.8451, kodak/kodim17.png
88, 168, 96, 0, 0.1136, 68.6863, kodak/kodim20.png
88, 168, 96, 0, 0.0967, 64.4427, kodak/kodim12.png
88, 168, 96, 0, 0.1327, 119.3007, kodak/kodim22.png
88, 168, 96, 0, 0.1303, 98.7780, kodak/kodim19.png
88, 168, 96, 0, 0.1060, 77.7196, kodak/kodim02.png
88, 168, 96, 0, 0.1080, 75.7948, kodak/kodim10.png
88, 168, 96, 0, 0.2847, 184.5461, kodak/kodim05.png
88, 168, 96, 0, 0.0995, 49.9880, kodak/kodim23.png
88, 168, 96, 0, 0.1479, 116.9915, kodak/kodim11.png
88, 168, 96, 0, 0.2053, 172.6381, kodak/kodim24.png
88, 168, 96, 0, 0.2184, 183.9115, kodak/kodim01.png
88, 168, 96, 0, 0.1108, 84.4271, kodak/kodim04.png
88, 168, 96, 0, 0.1890, 156.4568, kodak/kodim14.png
88, 168, 96, 0, 0.3117, 284.0043, kodak/kodim13.png
88, 168, 96, 0, 0.1712, 138.7491, kodak/kodim06.png
88, 168, 96, 0, 0.0992, 91.5687, kodak/kodim16.png
88, 168, 96, 0, 0.1382, 79.8604, kodak/kodim07.png
88, 168, 96, 1, 0.1318, 41.0818, kodak/kodim03.png
