level,fn,bpp,mse,np
7.00, kodak/kodim22.png, 0.1120, 202.6353, 393216
7.00, kodak/kodim19.png, 0.1120, 158.2616, 393216
7.00, kodak/kodim02.png, 0.0867, 146.1360, 393216
7.00, kodak/kodim10.png, 0.0971, 146.2190, 393216
7.00, kodak/kodim05.png, 0.2391, 262.7802, 393216
7.00, kodak/kodim23.png, 0.0863, 94.2223, 393216
7.00, kodak/kodim11.png, 0.1264, 192.4697, 393216
7.00, kodak/kodim24.png, 0.1792, 257.4053, 393216
7.00, kodak/kodim01.png, 0.1814, 264.9632, 393216
7.00, kodak/kodim04.png, 0.0934, 159.8100, 393216
7.00, kodak/kodim14.png, 0.1594, 253.5722, 393216
7.00, kodak/kodim13.png, 0.2704, 369.3462, 393216
7.00, kodak/kodim06.png, 0.1489, 205.0126, 393216
7.00, kodak/kodim16.png, 0.0860, 169.3223, 393216
7.00, kodak/kodim07.png, 0.1175, 143.1021, 393216
8.00, kodak/kodim03.png, 0.0852, 103.2730, 393216
8.00, kodak/kodim08.png, 0.2732, 231.1528, 393216
8.00, kodak/kodim21.png, 0.1566, 164.7467, 393216
8.00, kodak/kodim18.png, 0.1791, 245.1238, 393216
8.00, kodak/kodim15.png, 0.1014, 120.6492, 393216
8.00, kodak/kodim09.png, 0.0995, 110.7164, 393216
8.00, kodak/kodim17.png, 0.1095, 149.1050, 393216
8.00, kodak/kodim20.png, 0.1022, 106.9569, 393216
8.00, kodak/kodim12.png, 0.0876, 105.9582, 393216
8.00, kodak/kodim22.png, 0.1176, 187.5360, 393216
8.00, kodak/kodim19.png, 0.1171, 147.3683, 393216
8.00, kodak/kodim02.png, 0.0904, 129.8176, 393216
8.00, kodak/kodim10.png, 0.1012, 133.6113, 393216
8.00, kodak/kodim05.png, 0.2527, 236.6456, 393216
8.00, kodak/kodim23.png, 0.0893, 85.7049, 393216
8.00, kodak/kodim11.png, 0.1329, 174.7540, 393216
8.00, kodak/kodim24.png, 0.1884, 237.4945, 393216
8.00, kodak/kodim01.png, 0.1935, 239.1346, 393216
8.00, kodak/kodim04.png, 0.0983, 143.3467, 393216
8.00, kodak/kodim14.png, 0.1684, 231.3988, 393216
8.00, kodak/kodim13.png, 0.2894, 341.6601, 393216
8.00, kodak/kodim06.png, 0.1567, 190.8712, 393216
8.00, kodak/kodim16.png, 0.0912, 152.5497, 393216
8.00, kodak/kodim07.png, 0.1226, 127.6859, 393216
9.00, kodak/kodim03.png, 0.0886, 100.0415, 393216
9.00, kodak/kodim08.png, 0.2855, 221.2475, 393216
9.00, kodak/kodim21.png, 0.1639, 158.3131, 393216
9.00, kodak/kodim18.png, 0.1885, 235.4597, 393216
9.00, kodak/kodim15.png, 0.1053, 117.2324, 393216
9.00, kodak/kodim09.png, 0.1034, 104.4025, 393216
9.00, kodak/kodim17.png, 0.1146, 143.3177, 393216
9.00, kodak/kodim20.png, 0.1064, 101.0985, 393216
9.00, kodak/kodim12.png, 0.0912, 101.2884, 393216
9.00, kodak/kodim22.png, 0.1236, 181.0343, 393216
9.00, kodak/kodim19.png, 0.1218, 143.5227, 393216
9.00, kodak/kodim02.png, 0.0939, 125.7866, 393216
9.00, kodak/kodim10.png, 0.1054, 127.3878, 393216
9.00, kodak/kodim05.png, 0.2650, 227.1865, 393216
9.00, kodak/kodim23.png, 0.0925, 82.6388, 393216
9.00, kodak/kodim11.png, 0.1395, 170.9230, 393216
9.00, kodak/kodim24.png, 0.1984, 227.4576, 393216
9.00, kodak/kodim01.png, 0.2051, 229.0545, 393216
9.00, kodak/kodim04.png, 0.1022, 139.0158, 393216
9.00, kodak/kodim14.png, 0.1770, 222.3105, 393216
9.00, kodak/kodim13.png, 0.3054, 329.8997, 393216
9.00, kodak/kodim06.png, 0.1650, 181.1561, 393216
9.00, kodak/kodim16.png, 0.0967, 146.7237, 393216
9.00, kodak/kodim07.png, 0.1275, 122.3104, 393216
10.00, kodak/kodim03.png, 0.0931, 94.3998, 393216
10.00, kodak/kodim08.png, 0.3006, 204.9760, 393216
10.00, kodak/kodim21.png, 0.1735, 149.1716, 393216
10.00, kodak/kodim18.png, 0.2009, 219.3367, 393216
10.00, kodak/kodim15.png, 0.1100, 111.1273, 393216
10.00, kodak/kodim09.png, 0.1086, 96.8738, 393216
10.00, kodak/kodim17.png, 0.1209, 135.2286, 393216
10.00, kodak/kodim20.png, 0.1113, 94.5466, 393216
10.00, kodak/kodim12.png, 0.0955, 96.0109, 393216
10.00, kodak/kodim22.png, 0.1313, 171.1791, 393216
10.00, kodak/kodim19.png, 0.1280, 137.1798, 393216
10.00, kodak/kodim02.png, 0.0982, 124.0057, 393216
10.00, kodak/kodim10.png, 0.1107, 118.4031, 393216
10.00, kodak/kodim05.png, 0.2816, 207.4655, 393216
10.00, kodak/kodim23.png, 0.0961, 79.1952, 393216
10.00, kodak/kodim11.png, 0.1477, 161.1425, 393216
10.00, kodak/kodim24.png, 0.2108, 211.9147, 393216
10.00, kodak/kodim01.png, 0.2189, 213.6882, 393216
10.00, kodak/kodim04.png, 0.1071, 133.1235, 393216
10.00, kodak/kodim14.png, 0.1876, 208.5248, 393216
10.00, kodak/kodim13.png, 0.3267, 307.7563, 393216
10.00, kodak/kodim06.png, 0.1743, 170.0424, 393216
10.00, kodak/kodim16.png, 0.1029, 138.9971, 393216
10.00, kodak/kodim07.png, 0.1333, 113.5627, 393216
