hash,level,bpp,mse
128032256, 2, 0.3447, 65.8105
128032256, 3, 0.5037, 36.8012
128032256, 4, 0.7064, 22.5903
128032256, 5, 0.9626, 14.5790
128032256, 6, 1.2749, 9.7548
128032256, 7, 1.6281, 7.2186
128072032, 0, 0.1571, 131.0264
128072032, 1, 0.2319, 93.1120
128072032, 2, 0.3447, 72.7059
128072032, 3, 0.5037, 43.2089
128072032, 4, 0.7064, 27.9856
128072032, 5, 0.9626, 19.3906
128072032, 6, 1.2749, 13.6729
128072032, 7, 1.6281, 10.6290
128072064, 0, 0.1571, 117.4106
128072064, 1, 0.2319, 82.1326
128072064, 2, 0.3447, 64.1901
128072064, 3, 0.5037, 36.0261
128072064, 4, 0.7064, 22.5245
128072064, 5, 0.9626, 14.6585
128072064, 6, 1.2749, 9.9461
128072064, 7, 1.6281, 7.4038
128072096, 0, 0.1571, 121.5539
128072096, 1, 0.2319, 83.7189
128072096, 2, 0.3447, 63.7817
128072096, 3, 0.5037, 35.7864
128072096, 4, 0.7064, 22.0451
128072096, 5, 0.9626, 14.2355
128072096, 6, 1.2749, 9.5006
128072096, 7, 1.6281, 7.0133
128072144, 0, 0.1571, 131.1290
128072144, 1, 0.2319, 88.5944
128072144, 2, 0.3447, 65.2121
128072144, 3, 0.5037, 36.1287
128072144, 4, 0.7064, 21.8752
128072144, 5, 0.9626, 14.0359
128072144, 6, 1.2749, 9.2675
128072144, 7, 1.6281, 6.8086
128072256, 0, 0.1571, 136.4822
128072256, 1, 0.2319, 90.3864
128072256, 2, 0.3447, 65.4699
128072256, 3, 0.5037, 35.9941
128072256, 4, 0.7064, 21.6508
128072256, 5, 0.9626, 13.8152
128072256, 6, 1.2749, 9.0766
128072256, 7, 1.6281, 6.6310
128128032, 0, 0.1571, 131.7160
128128032, 1, 0.2319, 91.7336
128128032, 2, 0.3447, 70.2380
128128032, 3, 0.5037, 40.0937
128128032, 4, 0.7064, 24.6316
128128032, 5, 0.9626, 16.2077
128128032, 6, 1.2749, 10.9560
128128032, 7, 1.6281, 8.2675
128128064, 0, 0.1571, 115.7115
128128064, 1, 0.2319, 80.3566
128128064, 2, 0.3447, 62.8155
128128064, 3, 0.5037, 35.1280
128128064, 4, 0.7064, 21.8470
128128064, 5, 0.9626, 14.1408
128128064, 6, 1.2749, 9.5129
128128064, 7, 1.6281, 7.0202
128128096, 0, 0.1571, 119.7854
128128096, 1, 0.2319, 82.2363
128128096, 2, 0.3447, 62.6612
128128096, 3, 0.5037, 35.1432
128128096, 4, 0.7064, 21.5900
128128096, 5, 0.9626, 13.9065
128128096, 6, 1.2749, 9.2440
128128096, 7, 1.6281, 6.7835
128128144, 0, 0.1571, 131.3426
128128144, 1, 0.2319, 87.8926
128128144, 2, 0.3447, 64.4929
128128144, 3, 0.5037, 35.5922
128128144, 4, 0.7064, 21.4791
128128144, 5, 0.9626, 13.7495
128128144, 6, 1.2749, 9.0694
128128144, 7, 1.6281, 6.6377
128128256, 0, 0.1571, 136.7620
128128256, 1, 0.2319, 89.6535
128128256, 2, 0.3447, 64.7380
128128256, 3, 0.5037, 35.4619
128128256, 4, 0.7064, 21.2673
128128256, 5, 0.9626, 13.5482
128128256, 6, 1.2749, 8.8982
128128256, 7, 1.6281, 6.4839
128168032, 0, 0.1571, 132.2660
128168032, 1, 0.2319, 92.4685
128168032, 2, 0.3447, 70.4340
128168032, 3, 0.5037, 40.2304
128168032, 4, 0.7064, 24.5913
128168032, 5, 0.9626, 16.1257
128168032, 6, 1.2749, 10.7482
128168032, 7, 1.6281, 8.0584
128168064, 0, 0.1571, 115.6642
128168064, 1, 0.2319, 80.2244
128168064, 2, 0.3447, 62.3376
128168064, 3, 0.5037, 34.8629
128168064, 4, 0.7064, 21.6909
128168064, 5, 0.9626, 14.0362
128168064, 6, 1.2749, 9.3984
128168064, 7, 1.6281, 6.9212
128168096, 0, 0.1571, 121.2321
128168096, 1, 0.2319, 82.7300
128168096, 2, 0.3447, 62.2721
128168096, 3, 0.5037, 34.8758
128168096, 4, 0.7064, 21.4084
128168096, 5, 0.9626, 13.7740
128168096, 6, 1.2749, 9.1260
128168096, 7, 1.6281, 6.6873
128168144, 0, 0.1571, 133.8815
128168144, 1, 0.2319, 88.9171
128168144, 2, 0.3447, 64.2901
128168144, 3, 0.5037, 35.3924
128168144, 4, 0.7064, 21.3148
128168144, 5, 0.9626, 13.6219
128168144, 6, 1.2749, 8.9600
128168144, 7, 1.6281, 6.5541
128168256, 0, 0.1571, 140.8140
128168256, 1, 0.2319, 91.3995
128168256, 2, 0.3447, 64.8895
128168256, 3, 0.5037, 35.4081
